"Mass","enterococcus_faecium_s_1054_-_d1","enterococcus_faecium_s_1065_-_d1","enterococcus_faecium_s_1269_-_d1","enterococcus_faecium_s_142_-_d1","enterococcus_faecium_s_1508_-_d1","enterococcus_faecium_s_1514_-_d1","enterococcus_faecium_s_1604_-_d1","enterococcus_faecium_s_1841_-_d1","enterococcus_faecium_s_1856_-_d1","enterococcus_faecium_s_1963_-_d1","enterococcus_faecium_s_2090_-_d1","enterococcus_faecium_s_2217_-_d1","enterococcus_faecium_s_276_-_d1","enterococcus_faecium_s_491_-_d1","enterococcus_faecium_s_974_-_d1","enterococcus_faecium_s_g-13_-_d1","enterococcus_faecium_s_g-19_-_d1","enterococcus_faecium_s_g-1_-_d1","enterococcus_faecium_s_g-20_-_d1","enterococcus_faecium_s_g-3_-_d1","enterococcus_faecium_vanb_1080_-_d1","enterococcus_faecium_vanb_1095_-_d1","enterococcus_faecium_vanb_1144_-_d1","enterococcus_faecium_vanb_1213_-_d1","enterococcus_faecium_vanb_1303_-_d1","enterococcus_faecium_vanb_1791_-_d1","enterococcus_faecium_vanb_2038_-_d1","enterococcus_faecium_vanb_2043_-_d1","enterococcus_faecium_vanb_2119_-_d1","enterococcus_faecium_vanb_2167_-_d1","enterococcus_faecium_vanb_2446_-_d1","enterococcus_faecium_vanb_2745_-_d1","enterococcus_faecium_vanb_2_-_d1","enterococcus_faecium_vanb_313_-_d1","enterococcus_faecium_vanb_342_-_d1","enterococcus_faecium_vanb_468_-_d1","enterococcus_faecium_vanb_736_-_d1","enterococcus_faecium_vanb_775_-_d1","enterococcus_faecium_vanb_834_-_d1","enterococcus_faecium_vanb_887_-_d1"
3314.9206577366,162.3090385866,73.3715607446,801.0498663502,263.3384401303,171.2484377923,152.3004889285,278.2746953449,270.8574008193,292.4450058655,200.6368574365,189.1897346517,258.8158881174,692.9776038932,187.5141399507,330.2321565912,59.7010441597,139.7100820008,54.9712224491,56.0190164307,67.1443394536,168.3344081332,69.2397029919,709.6193095176,106.5048572002,107.3746568611,249.2323979732,177.06571196,408.1429773306,141.8766856954,236.1640252675,210.2095165816,151.5241800853,48.7866394604,157.1071446208,70.557499004,202.6444163698,209.2108425122,170.138432443,17.1950686452,234.8634662608
3428.6863072056,340.2922260128,151.3212453268,559.3598095091,543.1926152098,462.0312114032,273.8166818285,512.3978279247,513.3089584842,648.2882048,392.4243488777,429.5959913929,496.9957404326,385.6069748582,287.3285233393,469.8562980181,106.8172141687,542.8127170501,116.3936623045,238.1535311518,482.4962864487,256.1956316108,120.8349887303,914.4611426797,137.490749648,207.9053228718,462.3672206181,298.5502864283,1362.4586046119,333.0788043102,396.8342735241,352.6484010173,3114.1045119421,156.9280837341,304.6553228693,98.6689480075,357.5077125479,360.727025119,248.158597049,29.7282823615,462.4791202991
3443.7442737307,1300.2930578389,488.3659039591,1762.4420597017,1971.7725989346,1571.6658661662,1011.659507099,1956.8897660272,2225.4075881283,2613.2809578538,1662.379215653,1599.1133643282,2232.798619504,1465.1094064008,952.6552056479,1908.9956088265,300.2250201852,1878.5058635882,373.6004173804,917.3624847797,1535.4131933456,1018.3480719153,562.5149076163,3411.5977342271,519.8937601232,769.4595105125,1824.9337564738,1022.6908015314,3359.0648852239,1046.8108512462,1500.6516763404,1506.3566600454,903.3894241337,588.5958270652,967.9365755249,439.0602328155,1444.1366053949,1620.967516568,1121.3030972268,52.9519939022,1681.9788336131
3496.0171594856,274.7457583025,122.1815427447,448.9645416487,469.4409008165,325.0630599511,206.23617106,433.0835247257,480.376639843,505.9880240711,471.6824585378,332.052641767,544.4084313099,311.5672987024,219.3306361493,360.7756037216,92.545502265,375.0885584287,77.7648475465,178.1981175025,330.8506395977,168.8980837491,96.7624438786,699.3840028794,127.8838714474,145.363318224,341.1149000545,201.5527157859,494.3671309316,325.2383158338,308.4673523179,1056.1572317403,556.6206861999,129.0361100439,222.3332288271,82.1310424207,263.7861077954,306.9887734641,236.8421651581,15.9009102938,391.1371627484
3515.3750805388,886.2704323357,368.348900797,1254.782779886,1425.8816822675,856.8888899397,550.7651790365,1483.0456532325,1618.3985148994,1514.0162494375,1265.2555342242,1111.1709929912,1535.3265059401,966.7011658672,657.6720080282,1171.9733590389,266.2068697544,1003.2237118912,195.3391989597,499.6666500776,1051.6057746165,630.0367344116,313.8145887575,2070.4461919995,361.5016073516,402.6849669905,1206.3506985746,750.5460244631,1772.5413738863,847.9436078366,1134.2336824452,1020.0747601734,2233.6650713385,386.4862360779,708.9575220846,260.3675860471,860.4718007152,915.6485665745,667.2377760997,21.5629245728,1073.8510567883
3562.6102147955,147.570390855,83.2863376885,288.5165908811,210.5515647587,143.6158505598,136.1972681515,233.0342676191,233.9601869513,239.5556273326,154.6526768794,171.9823474773,186.4937218924,149.8214209747,123.3005085889,217.7986966038,55.0264107008,211.8390399065,44.1295182252,84.253486043,134.5002369705,100.4452471677,37.730619972,474.0821640195,76.2599432632,89.3902473803,153.9419555465,123.7614223972,247.7544852086,130.3632206745,189.1041175653,152.2513265036,183.3563426532,63.6654554946,134.6719595633,44.4881964543,166.0546115231,125.5263531519,123.7952934655,14.8030892496,180.3108017176
3586.3462756632,199.4295135455,114.576058036,382.0877731025,360.6656430859,199.3706747419,177.7370457439,359.7062719069,314.5876464343,373.7852043098,271.9340375707,223.8240387981,265.1921551631,250.9699604508,171.1298660115,343.2483153521,44.8405404255,262.4566540387,54.4998814953,100.5492434397,164.240942845,165.715404669,73.8411178737,586.5839972999,89.5515351426,136.1855915462,263.5430764907,187.6508584303,446.0519695185,165.7028493643,284.7224493498,305.4388645704,144.8692114749,76.5615567162,202.6014159047,77.0853165114,230.0289754015,177.8413454106,212.4844919256,17.7480585333,273.5411541019
3642.6556352824,5774.9282063771,2244.3557546155,11747.1909645024,10779.5532896574,4775.8796580498,3615.0135416919,11723.2308374333,12300.7561364459,11549.6328697508,8189.4278335348,6669.2016661542,10851.4869976234,6101.7107086992,4201.1850785053,9567.1879681511,553.8416071615,4172.6678635355,587.9237864418,997.0824358567,3579.4933203894,3693.7241448939,2146.2108793116,2511.9339990588,2379.6966039154,5158.0552736402,5344.9910338183,4632.553805305,13350.7514685224,4711.3132595677,8057.7765496474,9371.9490712696,392.0214979455,1528.0693689771,4659.3920537414,2371.236698494,6379.3800073401,6425.5393215524,5261.0163504477,88.2755657641,7813.7836012075
3693.4264778937,620.8231335716,213.1796255307,972.9163198045,1167.3768536347,485.6367584129,442.7719612132,1043.3690103251,981.0488242679,897.672671031,1014.2644882291,687.6637897995,850.34572729,843.8623354148,614.7860226597,1048.93457639,144.6096958652,1396.5895930606,101.781951987,502.2776090132,639.2343089576,495.8559572528,161.5072295046,623.1038254334,277.2346966176,385.1868993427,838.2164909362,574.6333453866,1408.5791008679,467.9427978466,855.2662720466,677.7456996381,247.0189552807,203.792173511,591.6900970731,213.7106709315,805.8969359783,664.7151027854,554.093727098,22.7991290529,692.8093010206
3822.2741405271,221.8514453304,114.5655083442,534.0105690322,188.4388224929,271.8251881369,156.9751472095,284.4855224218,301.7457381486,455.1647281408,192.544207261,292.3640627648,248.2350977282,199.3276872903,174.3057861079,275.1660640719,98.4772983595,365.8176863887,100.3547611191,184.6533547922,288.2171931517,102.926670526,86.559105881,358.8925474207,95.5177028813,114.3610247963,300.8400151941,144.8311186821,358.8760168448,245.3247726966,190.545825002,214.7167160044,214.8761784779,77.4606331765,188.0507852518,58.5294687299,237.338600207,227.8356022797,144.6197855882,27.7901592772,311.3636841921
3877.3414141743,405.8081910118,203.0862875044,416.9198481354,242.1171357372,418.6222080026,476.5913526157,983.3170197847,949.1351859603,1564.0798765271,598.1570342391,1005.7622603409,444.2999753507,538.8094434671,759.0699709152,1184.1123399324,1089.9852351383,295.0080512932,192.9022117717,145.8317352476,522.897104522,317.6385431537,160.2523199294,981.1863690619,472.4928050825,386.7892094087,418.3437099926,1091.2391719626,607.6610677808,642.3175464243,724.42833895,657.5371986109,122.0934190881,239.9847076447,471.3434912891,192.7808809509,539.095656639,283.1902496943,216.5013953851,194.1108671855,338.376019364
4412.413773898,1499.8439948107,887.1188272714,2130.9487105484,1516.7765885164,1378.4226525517,1681.9745359219,2156.8542839996,1892.8223081221,2492.7885109369,972.3307854232,2471.221917658,1059.221773661,2274.4914051445,1518.4038571141,2331.4072625511,407.3052619555,2416.6385643384,618.5059523869,1041.8431924467,2240.8151123304,1656.1838328377,714.7213093006,1660.2552966169,1260.9875212889,926.4638216121,1208.0069373716,1934.1219141278,2494.111122358,913.0115713742,2086.4421996927,1016.556198804,13945.4748323163,1453.0471761825,2357.9620464166,380.6991465976,2148.0819330567,1018.385665829,932.1133652836,118.8597257567,1583.0158811599
4427.9444397481,12494.2583038316,6648.3566501875,18581.8959062393,11945.8013138059,11453.7774145455,13292.4231634408,18816.5295512992,18166.3868006839,20698.6310177871,9303.8555061026,19947.8012648946,10463.9231510384,17179.0891416101,11550.4196241452,19487.3276360069,3411.2981747594,16838.4830104599,4511.4664448589,8222.4367026301,16029.3134500437,14305.9381239238,6183.5824181638,16032.917874974,11311.3283304639,8073.3334123026,12318.865821972,16590.3320976877,23788.2505438007,7249.322067532,19854.131051679,10330.7455638199,13246.2428254579,10832.4383516231,16761.949732599,3990.0842993662,17021.0555605681,9447.313858994,8040.0559666909,822.9038963644,13130.581965345
4531.132963398,1187.7146730041,374.0072670824,1972.3060803729,1828.3606942504,1880.0911245619,1163.5368848195,1977.4139587987,2511.6841691072,2726.7432495147,1824.4361945723,1780.8178496748,2298.8886387735,1619.8772948161,984.5305609193,2018.8589648989,207.5399302451,2124.9568382868,406.9959924589,905.848242535,1647.0074782322,841.11712377,799.0570230823,2466.5094040757,573.212059302,780.6110862538,1333.1863480585,900.2043356645,3328.1579765194,1015.6479514381,1537.7973163283,1433.9338962074,866.5666025445,648.2209421162,955.1184537207,436.6716008601,1511.4152154913,1555.9722049894,1044.1391466287,40.6828397663,1709.2524646804
4615.0718878377,490.6481489493,198.4588854984,811.7497675824,770.4407820902,779.7069570454,452.816991318,768.7719311439,937.3221861869,1022.4021675949,825.3684336984,633.3079681224,932.9813208087,665.0120118389,369.7971451483,793.5652130727,167.3688283597,946.34507223,189.1876380405,442.8656045137,715.099609678,401.1506310835,329.1007768826,1036.5808956064,221.7053359875,297.697755546,585.357968935,375.0500809181,1417.5440557872,406.3334109736,623.6886898372,672.4219457834,215.61877179,270.7666238235,422.7265091209,141.6324570577,598.0074710009,714.6035148564,505.7447561319,19.5246537096,752.4985785409
4765.2453658622,259.1783607198,85.7649700016,304.7710331884,339.5804940686,250.4831747008,234.6016143916,386.0662885031,465.2987452586,363.7456068865,564.4647735118,290.2984433666,356.4137646638,408.9914073966,276.5421789401,437.1490020783,60.7805940586,415.9326196459,63.8174889473,236.7741118448,369.8526566826,279.1463684869,493.3343958773,607.4229528746,154.5398061744,134.8551804934,322.5015486559,250.1203476272,530.5326769926,208.3259712791,372.433386884,464.4650417434,5509.307477798,170.3613169225,226.2093457352,65.9989753208,379.7741721052,284.5939672756,337.8548337047,9.2084927886,374.2550958315
4776.5410635805,948.0204089265,248.5250568639,884.1944189842,1295.7016349107,965.1329756611,763.39650623,1309.9917829186,2021.6782288438,1264.435546197,2602.9037082456,928.0401805493,1647.3281803529,1247.1365444763,919.1354486501,1499.2875519989,154.3832180772,1332.5324710978,150.7931568028,681.6418704495,1087.4725410184,900.0368906252,1106.1029918674,2838.5955166011,484.6432267791,525.0497868474,1453.111884678,831.4778209183,2507.6279116439,760.947155714,1540.6754163244,2309.1680828414,1108.271389044,467.4171624288,672.0916669734,295.0019121875,1276.7669047825,1235.0869854222,1334.9865954422,14.5585547023,1445.3420161505
