Mass,L1a1,L1a2,L1a3,L1a4,L1a5,L1b1,L1b2,L1b3,L1b4,L1b5
485.38,0.0002189727,0.000953356,0.0001900703,0.0001240822,0.0001802716,0.0012597145,0.0026773433,0.0023001147,0.0011021713,0.0032220873
486.89,0.0005708931,0.0002755313,0.000188059,0.0001841475,7.30485e-05,0.0052493894,0.0048412808,0.0067752623,0.0054554048,0.009504361
488.39,0.0002567715,0.0005537035,0.0002549355,0.000152139,9.56892e-05,0.0022936114,0.0006310395,0.0026276436,0.0016308122,0.0021110099
489.91,0.0002346136,0.0002077489,0.0002162175,0.0002453983,9.5262e-05,0.0001549456,0.0014204924,0.0013531994,0.0010213701,0.0006646458
491.41,0.0006191192,0.0005897955,0.0008422427,0.0006354275,0.0007108341,0.0006614717,0.0010221062,0.0007875519,0.0008043157,0.0006842814
492.91,0.0003336727,0.0001848613,0.0002755516,0.0003513029,0.0002076114,0.0005204226,0.0005918283,0.0004665087,0.0005745867,0.000191169
494.44,0.0031816209,0.0021188623,0.0022401141,0.003128927,0.0016514931,0.0003091963,0.0010095587,0.0009427459,0.0012257497,0.0003486241
495.99,0.0089087992,0.0055370352,0.0067107884,0.0109832529,0.0057486142,0.0031864593,0.0033005405,0.0037028836,0.0045718722,0.0021925161
497.69,0.0018951564,0.0018292463,0.0016150946,0.0018300153,0.0012302897,0.001088788,0.0008485312,0.0008922499,0.0008481491,0.0011529419
499.21,0.0001420716,0.0002297562,9.2521e-05,0.000211414,0.0001123494,0.0002376295,0.0001071774,0.000271937,0.0002936307,0.0002460005
500.72,0.0006191192,0.0001751781,0.0002941564,9.95819e-05,0.000169592,0.0005364035,0.0003126443,0.0009274581,0.0004557613,0.0005383112
502.27,0.0007690112,0.0007139166,0.0004344464,0.0001936315,0.0005147566,0.0016029572,0.0011261467,0.0019216265,0.0033075702,0.003186521
503.8,0.0004835647,0.0003265882,0.0002574497,0.0003370769,0.0001285824,0.001065164,0.0010043305,0.0014546546,0.0014956153,0.0019246572
505.31,9.64523e-05,0.0003415532,0.0002438733,0.000185333,0.0002742521,0.0009345372,0.0010299485,0.0022056085,0.0009173319,0.0004945943
506.83,0.0004731374,0.000473597,0.000256444,0.000235124,0.0002268347,0.0004919348,0.0004119794,0.0004614127,0.0006569723,0.0007650466
508.35,0.0014611213,0.0013767763,0.0014511715,0.002534992,0.0012708722,0.0012062131,0.0009661649,0.0005563822,0.0004024219,0.0004256845
509.86,0.0020411382,0.0017473792,0.001375244,0.0010377068,0.0005796886,0.0009456544,0.001336319,0.0006017823,0.0012859546,0.0009317638
511.39,0.0003414931,0.0004577517,0.0003690783,0.00042757,0.000339184,0.0003397686,0.0004104109,0.0002270002,0.0003020805,0.0001581961
512.97,0.0002241863,0.0001514102,0.0002483987,0.0002785923,0.0002631453,0.0006302047,0.0005552311,0.000944599,0.0009711994,0.0003719645
514.51,0.0003297624,0.0002869751,0.0001231937,0.0002181318,0.0001221746,0.0002272072,0.0002985282,0.0003205799,0.0003078897,0.0001355966
516.11,0.0004262147,0.0003926101,0.0001091144,0.0001620182,0.0002639997,0.0006281202,0.0002922544,0.0002557227,0.0004383336,0.0002689704
517.63,0.000207242,0.000380286,0.0002137034,0.0002525113,0.0002708346,0.000455804,0.0006718192,0.0006045619,0.0003960846,0.0004030851
519.25,0.0003102113,0.0001144379,0.0002695177,0.0001884943,0.0001460969,0.0008275345,0.0005730069,0.0017682856,0.0020849892,0.0018590818
520.87,0.0005787135,0.0005228933,0.0003776264,0.0005307084,0.0008979406,0.000617003,0.0006017618,0.0002246839,0.0007979784,0.0007179953
522.4,0.0136610277,0.0121242585,0.0113604708,0.0175627722,0.0089520665,0.0023005597,0.0036989267,0.002945444,0.002472624,0.0013767134
523.97,0.0033549743,0.0032808474,0.0030300623,0.0052485991,0.0028557246,0.0025451375,0.00249854,0.0016621977,0.0024430496,0.0008658179
525.67,0.0006868964,0.0003301094,0.0003896944,0.0008760837,0.0003699413,0.0014792786,0.0008082743,0.0020050144,0.0014871655,0.0016460542
527.26,0.0004327317,0.000437505,0.0003811462,0.0003153427,0.0001268736,0.0039132444,0.0036691262,0.0082011945,0.003732701,0.0074066884
