"Mass","L1a_1","L1a_2","L1a_3","L1a_4","L1a_5","L1a_6","L1a_7","L1a_8","L1b_1","L1b_2","L1b_3","L1b_4","L1b_5","L1b_6","L1b_7","L1b_8","L21a_1","L21a_2","L21a_3","L21a_4","L21a_5","L21a_6","L21b_1","L21b_2","L21b_3","L21b_4","L21b_5","L21b_6","L21b_7","L21b_8"
776.68,48.7,50.86,41.74,5.23,20.81,35.44,19.44,8.28,26.48,24.21,42.45,34.45,38.97,17.87,42.29,30.89,19.43,31.85,33.98,27.63,30.22,7.94,20.89,39.47,23.98,18.79,48.06,4.48,22.26,16.73
777.28,65.72,27.21,30.35,20.69,30.01,22.56,38.86,5.76,33.5,35.65,45.77,30.24,27.96,39.54,28.44,59.14,19.4,12.43,9.09,8.16,29.81,21.44,5.37,22.19,35.36,37.62,33.51,26.62,21.16,10.91
777.89,0,0,1.19,7.32,2.56,0,9.2,15.42,0,0.4,0,3.87,3.17,2.48,2.53,1.6,0,0,0,0,2.13,12.52,0,0,2.24,3.4,0,4.69,0.8,17.4
778.47,36.27,38.09,32.22,17.98,28.77,31.12,16.73,13.11,23.1,19.59,28.01,14.98,31.48,32.8,25.66,32.38,33.63,31.58,32.24,27.82,25.27,10.75,26.62,41.99,9.61,32.33,37.75,16.71,42.79,30.05
779.05,0,2.51,1.85,5.86,0,8.11,2.84,6.72,0,0,2.41,0,0.95,0,0,8.02,3.29,1.07,3.37,0,0,5.75,0.64,0,1.91,0,1.05,3.98,0,0
779.63,10.96,6.49,23.1,8.1,30.1,0,11.29,22.53,5.9,20.07,37.78,11.81,15.75,33.9,24.03,46.39,9.27,14.59,41.01,25.66,18.17,4.14,23.85,28.28,13.64,14.05,11.97,14.8,28.47,43.17
780.21,16.32,7.28,28.05,10.1,7.07,7.39,3.93,0,14.5,1.1,3.33,3.7,25.67,19.07,2.2,0.72,4.3,4.3,1.48,1.15,2.36,6.01,1.1,6.26,0,4.7,0,0.72,9.9,4.43
780.79,7.57,0.71,0,4.28,18.57,10.18,17.17,12.88,0,30.35,13.31,20.6,0,0,20.11,31.19,29.26,35.3,23.92,24.16,38.13,9.58,29.48,4.48,28.27,40.85,35.35,16.03,9.63,10.77
781.37,8.53,27.72,15.37,14.89,4.5,16.64,5.98,9.88,26.51,31.24,36.33,7.61,44.13,34.95,27.37,45.63,13.21,8.39,18,26.43,12.63,0,28.94,34.15,23.47,22.58,20.86,6.75,25.86,24.53
782.12,11.05,0,0,1.23,0,0,0,1.2,5.53,0,0,0,0,0,15.48,0,0,4.7,0,1.5,2.04,5.44,0,0,1.01,0,0,0,1.79,0
782.7,0,3.2,9.71,4.94,14.49,21.56,23.58,5.22,1.79,5.07,28.92,12.64,3.98,3.64,0,42.42,8.23,2.15,18.61,1.2,1.8,6.66,4.24,18.1,11.45,23.11,2.64,1.54,6.31,2.55
783.36,24.42,40.75,43.68,0,35.85,24.92,10.76,24.11,104.7,133.63,42.74,189.07,189.29,155.83,50.44,18.35,0,90.35,14.98,0,107.84,4.31,119.38,0,48.29,32.79,112.31,0,154.83,35.15
783.94,14.22,26.73,12.83,87.58,9.01,1.53,3.16,5.02,10.68,6.4,12.8,9.73,4.43,6.39,34.46,7.5,133.79,63.48,19.77,118.93,55.62,27.16,18.47,152.07,23.46,19.55,15.85,118.15,9.86,7.08
