"Mass","P1aDD_1","P1aDD_2","P1aDD_3","P1aDD_4","P1aDD_5","P1aDD_6","P1aDD_7","P1bDD_1","P1bDD_2","P1bDD_3","P1bDD_4","P1bDD_5","P1bDD_6","P1bDD_7","P1bDD_8","P21aDD_1","P21aDD_2","P21aDD_3","P21aDD_4","P21aDD_5","P21aDD_6","P21aDD_7","P21aDD_8","P21bDD_1","P21bDD_2","P21bDD_3","P21bDD_4","P21bDD_5","P21bDD_6","P21bDD_7","P21bDD_8"
5723.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,3.2,0,0,0,0,0,0,0,0
5729.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0.67,0,2.45,2.64,1.9,0,1.51,0,3.67,0.93,1.05,0,2.34,1.1
5745.21,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0.61,0
5797.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,4.68,0,7.25,0,0,0,0,1.28,0,0.65,3.86,2.85,7.72,2.49
5804.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61,0,5.92,2.73,4.94,3.29,0,7.51,0,0,0,0,1.64
5813.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5822.13,4.63,0,2.99,0,0,54.81,0,7.14,0,0,0,7.35,15.63,0,9.2,0,20.44,13.18,10.28,13.26,9.52,0,9.9,0,8.3,23.84,5.66,4.64,9.95,0,8.76
5828.7,5.9,9.26,13.42,5.06,183.46,39.44,4.41,41.64,61.74,143.99,18.77,13.91,29.62,117.49,5.95,187.95,65.76,59.65,23.13,15.71,33.23,257.76,17.57,120.66,14.5,58.03,17.33,23.47,19.31,262.9,29.48
5837.41,2.28,8.43,0,0,0,12.55,4.61,0,0,0,5.43,0,0,0,0,0,0,0,7.21,6.68,0,0,10.45,0,0,0,0,0,8.3,0,0
5848.76,0,0,0,31.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78
5861.01,0,2.75,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5878.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.23,10.56,14.71,19.65,8.17,1.52,5.47,5.2,4.52,13.76,9.27,10.6,3.52,2.45,7.75,0
5885.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,14.81,15.08,3.83,8.46,12.4,5.56,3.85,0,7.47,0,2.57,3.52,11.65,27.5
5894.72,0,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,8.36,2.73,0,0,4.85,0,0,0,2.8,0,0,0,0,3.47,0,0
5901.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,5.15,5.75,0,0,0,4.89,0,0,4.36,0,6.95,0,0,0,0
5908.9,0,0,0,0,0,3.4,0.62,1.44,0.93,0,0,1.43,6.5,0.79,0,4.62,0,0,0,0,0.5,0,3.52,0,0,0,0,0,0,0,0
5916.52,0,0,0,0,0,0.6,0,0.71,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5926.56,0.3,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5934.76,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5947.47,0,0,0.69,0,0,1.74,0,0,0,0,0,0.61,2.98,0,0,0,0,0,0,0,0,0,0,1.76,0,0,0,0,0,0,0
5964.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.7,39.44,36.55,28.8,31.82,35.61,47.28,29.33,75.1,47.77,91.61,30.44,52.1,48.38,92.91,50.06
5977.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,2.01,3.31,3.09,5.13,0,3.92,0,6.09,4.91,0,0,3.73,0,3.02
5989.19,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0.56,4.33,0,0,0
6009.43,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6020.56,0,0,0,0,0,22.48,0,0,4.49,21.85,10.13,14.7,30.81,14.23,0,0,7.1,10.92,9.09,8.79,0,0,13.38,6.28,3,8.38,0.54,7.79,2.37,5.14,5.92
6028.4,0,9.78,5.37,1.03,26.68,0,15.06,17.3,0,0,0,0,0,0,26.69,11.45,0,0,0,0,13.12,6.51,0,0,0,0,0,0,0,0,0
6035.47,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6042.51,0,1.86,0,1.66,0,2.89,0,0,0,0.78,0,0,0,0,0,1.18,2.89,5.74,5.93,3.24,6.36,3.79,1.93,1.34,1.78,3.78,1.17,0,1.68,7.65,2.27
6083.33,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0.63,0,1.91,0.83,0,2.29,0,0,0,0,1.25
6096.62,0.25,0,0,0,0,8.93,0,1.95,0,0,0,0,9.15,0,0,0,0,0,4.2,0,0,0,0,0,0,4.56,0,0,0,0,5.32
6103.77,0,2.43,0,0,0,0,2.57,0,0,5.5,2.15,0,0,0,0,0,0,5.5,0,8.31,0,0,0,0,3.05,0,2.34,0,0,0,0
6113.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42,9.04,12.25,7.72,0,0,0,0,0,63.7,0,59.76,0,0,0
6120.35,0,10.43,7.97,0,0,30.43,12.55,41.85,10.77,37.36,15.06,19.71,38.73,30.17,42.74,5.64,8.07,8.15,8.9,4.86,60.27,76.51,69.99,49.8,33.08,0,22.7,0,43.28,42.46,34.75
6128.29,1.48,0,0,4.2,17.59,0,0,0,0,0,0,0,0,0,0,9.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6135.14,0,0,1.57,0,0,10.3,0,0,2.45,0,0,7.82,12.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,5.02,3.31
6142.04,0,3.78,0,0,7.12,0,5.21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,3.74,0,0,0,0,0,0
6170.52,1.76,0,7.1,0,0,54.84,0,40.43,13.13,49.47,14.94,37.54,60.6,29.65,49.26,0,40.46,49.61,35.47,40.93,35.35,0,44.67,31.93,25.15,42.5,19.63,32.91,28.06,46.7,35.11
6179.13,0.84,25.25,0,2.16,40.4,0,31.28,0,0,0,0,0,0,0,0,34.89,0,0,0,0,0,47.19,0,0,0,0,0,0,0,0,0
6188.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17
6195.41,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0.68,0,0,0,0,0,2.9,0,0,0,0,0,1.57,0,0,0,0,0
6203.79,0,0,0,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6225.2,3,0,5.46,0,0,56.1,0,11.57,38.86,0,0,35.61,50.86,0,46.88,0,41.81,43.14,41.29,41.78,0,0,36.22,35.14,30.64,43.7,20.73,24.42,23.19,34.61,35.79
6233.49,0,53.59,0,0,128.03,0,25.47,0,0,38.13,63.43,0,0,66.48,0,25.19,0,0,0,0,37.9,27.09,0,0,0,0,0,0,0,0,0
6240.24,6.63,0,8.14,7.68,0,19.16,0,28.98,0,13.51,0,10.54,10.82,0,11.9,0,28.48,25.79,29.66,0,0,12.16,0,0,12.54,19.92,0,0,14.64,25.72,17.55
6247.47,0,0,0,0,0,0,9.03,0,0,0,0,0,0,0,0,8.03,0,0,0,27.4,17.93,0,20.51,14.67,0,0,9.33,17.06,0,0,0
6255.16,0,0,0,16.21,0,8.73,0,0,0,0,0,5.08,7.58,0,0,0,0,12.11,0,0,9.92,0,0,0,0,10.22,0,7.76,5.08,0,0
6262.65,0,0,0,0,0,0,0,0,0.45,0,0,0,0,3.37,0,4.37,15.07,0,12.42,9.08,0,5.4,12.2,11.69,3,0,4.13,0,0,0,9.01
6283.32,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,4.65,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0
6290.22,0,0,0,0,0,0.88,1.02,0,0,1.46,0,0,1.54,0,0,2.08,0,0,2.09,2.19,0,0,1.81,2.36,2.83,3.41,0.98,1.14,0,3.61,1.82
6299.23,0,3.08,0,0,1.33,0,0,0,0,0,0,0,3.85,0,0,0.78,0,1.49,0,0,3.76,5.54,0.62,0.51,0,0,0,0.96,2.09,0,0.79
6306.38,0,0,0,0,0,0,0.81,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0
6326.2,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6354.09,0,0,0,0,0,3.75,2.52,0,0,4.14,0.93,4.6,4.72,1.51,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0
6364.07,0,3.05,0,0,5.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6371.91,0,0,0.27,0,0,1.38,0,6.18,0.11,3.49,0,0,4.07,0,0.91,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0
6379.04,0,1.61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6410.62,0,0,0,0,0,0,0,0,0,0,0,1.6,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6417.59,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,1.51,0,0.8,0,0,0,0,0.16,1.86,0,0,0.9,0,0
6429.09,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09
6436.1,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,2.88,0.72,0,0,0,1.69,1.05,0,1.43,1.48,0,0
6444.13,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,2.71,0
6453.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.95,0.25,0,0,0,0
6471.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0
6567.5,0,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,1.42,0,0,0.83,0,0,0,0,0,0,0
6595.24,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6618.89,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6639.47,0,0,0,0,0,0,0,0,0.56,0.32,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6647.17,0,0,0,0,0,1.33,0.64,0,0,0,0,0,0,0,0.6,0,2.18,0,0,0,0,0.77,0,0,0,0,0.34,0.12,0,0,0
6657.98,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0
6667.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6694.24,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0.12,0,0,0,0,0,0
